"start","end","hN_mm","iN_mean","iN_max","hN_max_60","DN_h"
2020-02-02 17:10:00,2020-02-02 17:40:00,0.37,0.0528571428571429,0.18,0,0.5
2020-02-03 06:35:00,2020-02-03 11:00:00,6.82,0.126296296296296,1.14,4.48,4.41666666666667
2020-02-03 19:40:00,2020-02-03 23:35:00,3.18,0.06625,0.66,1.83,3.91666666666667
2020-02-04 08:40:00,2020-02-04 08:55:00,0.39,0.0975,0.21,0,0.25
2020-02-09 17:30:00,2020-02-09 23:05:00,15.44,0.227058823529412,1.74,11.17,5.58333333333333
2020-02-10 04:45:00,2020-02-10 07:30:00,4.57,0.134411764705882,1.37,2.19,2.75
2020-02-11 00:40:00,2020-02-11 01:00:00,1.14,0.228,0.52,0,0.333333333333333
2020-02-13 09:10:00,2020-02-13 13:30:00,8.67,0.163584905660377,0.44,3.44,4.33333333333333
2020-02-13 20:10:00,2020-02-13 22:20:00,1.04,0.0385185185185185,0.15,0.7,2.16666666666667
2020-02-16 04:05:00,2020-02-16 06:05:00,1.16,0.0464,0.21,0.8,2
2020-02-16 18:55:00,2020-02-16 23:10:00,7.49,0.144038461538462,1.36,2.9,4.25
2020-02-17 14:45:00,2020-02-17 15:10:00,4.31,0.718333333333333,2.75,0,0.416666666666667
2020-02-17 21:25:00,2020-02-18 00:15:00,1.81,0.0517142857142857,0.4,1.71,2.83333333333333
2020-02-19 01:20:00,2020-02-19 03:15:00,3.45,0.14375,0.3,2.31,1.91666666666667
2020-02-20 18:35:00,2020-02-20 22:45:00,4.98,0.0976470588235294,1.16,3.02,4.16666666666667
2020-02-22 17:50:00,2020-02-22 21:40:00,0.85,0.0180851063829787,0.19,0.41,3.83333333333333
2020-02-22 22:50:00,2020-02-23 12:10:00,17.58,0.109192546583851,0.37,3.21,13.3333333333333
2020-02-24 10:55:00,2020-02-24 18:10:00,6.06,0.0688636363636364,0.65,3.3,7.25
2020-02-25 15:05:00,2020-02-25 15:20:00,1.03,0.2575,0.6,0,0.25
2020-02-26 01:25:00,2020-02-26 07:05:00,9.92,0.143768115942029,0.62,3.79,5.66666666666667
2020-02-26 13:20:00,2020-02-26 13:35:00,0.41,0.1025,0.21,0,0.25
2020-02-27 14:25:00,2020-02-27 21:05:00,3.26,0.0402469135802469,0.14,1.4,6.66666666666667
2020-02-28 18:45:00,2020-02-28 22:05:00,5.99,0.14609756097561,0.32,2.63,3.33333333333333
2020-02-29 15:25:00,2020-02-29 15:45:00,1.77,0.354,0.75,0,0.333333333333333
2020-03-02 16:00:00,2020-03-03 00:40:00,4.61,0.0439047619047619,0.2,1.16,8.66666666666667
2020-03-04 22:10:00,2020-03-04 23:40:00,1.04,0.0547368421052632,0.2,0.84,1.5
2020-03-05 16:50:00,2020-03-06 02:05:00,7.14,0.06375,0.25,2.08,9.25
2020-03-06 05:10:00,2020-03-06 08:55:00,0.75,0.016304347826087,0.05,0.33,3.75
2020-03-06 09:55:00,2020-03-06 18:55:00,1.58,0.0144954128440367,0.1,0.54,9
2020-03-06 19:00:00,2020-03-06 19:10:00,0.08,0.0266666666666667,0.04,0,0.166666666666667
2020-03-08 13:50:00,2020-03-08 17:35:00,1.77,0.0384782608695652,0.14,0.77,3.75
2020-03-08 17:40:00,2020-03-08 21:20:00,0.32,0.00711111111111111,0.09,0.29,3.66666666666667
2020-03-10 01:25:00,2020-03-10 06:40:00,7.15,0.11171875,0.4,2.72,5.25
2020-03-10 10:40:00,2020-03-10 17:20:00,2.71,0.0334567901234568,0.13,0.82,6.66666666666667
2020-03-10 18:25:00,2020-03-10 23:15:00,3.31,0.0561016949152542,0.69,2.18,4.83333333333333
2020-03-11 22:00:00,2020-03-11 23:15:00,1.74,0.10875,0.33,1.48,1.25
2020-03-11 23:20:00,2020-03-12 06:35:00,5.06,0.0575,1.17,4.43,7.25
2020-03-13 05:40:00,2020-03-13 06:00:00,1.76,0.352,1.31,0,0.333333333333333
2020-03-13 11:55:00,2020-03-13 13:15:00,2.56,0.150588235294118,0.55,2,1.33333333333333
2020-03-29 08:45:00,2020-03-29 12:25:00,2.31,0.0513333333333333,0.14,1.13,3.66666666666667
2020-03-30 14:05:00,2020-03-30 17:50:00,1.46,0.0317391304347826,0.42,1.16,3.75
2020-04-28 13:50:00,2020-04-28 19:30:00,1.93,0.0279710144927536,0.36,0.96,5.66666666666667
2020-04-30 00:40:00,2020-04-30 02:10:00,2.19,0.115263157894737,0.45,1.8,1.5
2020-05-01 13:20:00,2020-05-01 15:25:00,1.19,0.0457692307692308,0.36,1.11,2.08333333333333
2020-05-02 05:15:00,2020-05-02 08:35:00,0.92,0.0224390243902439,0.23,0.82,3.33333333333333
2020-05-02 16:30:00,2020-05-02 16:45:00,2.17,0.5425,1.48,0,0.25
2020-05-03 15:10:00,2020-05-03 17:20:00,1.63,0.0603703703703704,0.61,1.41,2.16666666666667
2020-05-04 00:50:00,2020-05-04 02:15:00,0.14,0.00777777777777778,0.04,0.1,1.41666666666667
2020-05-22 14:35:00,2020-05-22 15:05:00,4.83,0.69,2.1,0,0.5
2020-05-23 11:30:00,2020-05-23 11:45:00,1.42,0.355,1.31,0,0.25
2020-05-24 10:25:00,2020-05-24 17:35:00,1.55,0.017816091954023,0.25,0.46,7.16666666666667
2020-06-04 10:40:00,2020-06-04 22:40:00,8.66,0.0597241379310345,1.32,2.71,12
2020-06-05 11:30:00,2020-06-05 17:05:00,8.35,0.122794117647059,1.24,4.09,5.58333333333333
2020-06-07 13:40:00,2020-06-07 15:35:00,0.96,0.04,0.27,0.79,1.91666666666667
2020-06-08 10:35:00,2020-06-08 10:55:00,0.9,0.18,0.43,0,0.333333333333333
2020-06-09 05:30:00,2020-06-09 06:25:00,2.42,0.201666666666667,0.48,2.42,0.916666666666667
2020-06-11 05:50:00,2020-06-11 06:10:00,0.28,0.056,0.1,0,0.333333333333333
2020-06-14 11:35:00,2020-06-14 12:00:00,1.69,0.281666666666667,0.91,0,0.416666666666667
2020-06-14 14:10:00,2020-06-15 00:05:00,20.25,0.16875,1.71,11.04,9.91666666666667
2020-06-17 15:10:00,2020-06-17 16:40:00,12.19,0.641578947368421,2.44,10.73,1.5
2020-06-17 22:55:00,2020-06-18 05:30:00,9.25,0.115625,1.01,6.15,6.58333333333333
2020-06-22 01:40:00,2020-06-22 03:25:00,1.85,0.0840909090909091,0.47,1.46,1.75
2020-06-28 02:45:00,2020-06-28 05:25:00,2.04,0.0618181818181818,1.49,1.49,2.66666666666667
2020-07-01 00:05:00,2020-07-01 14:15:00,18.96,0.110877192982456,1.4,7.29,14.1666666666667
2020-07-06 09:55:00,2020-07-06 13:30:00,2.21,0.0502272727272727,0.74,1.35,3.58333333333333
2020-07-07 12:35:00,2020-07-07 13:15:00,2.26,0.251111111111111,0.6,0,0.666666666666667
2020-07-09 03:55:00,2020-07-09 06:15:00,5.49,0.189310344827586,0.42,3.32,2.33333333333333
2020-07-09 15:20:00,2020-07-09 21:10:00,1.79,0.0252112676056338,0.22,0.96,5.83333333333333
2020-07-10 09:15:00,2020-07-10 09:25:00,0.6,0.2,0.42,0,0.166666666666667
